epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.82206,2.60996,2.73796,2.03232,0.02333,0.875,0.24106,0.08182,2.69521,2.89365,2.13434,0,0,0
2,7.68401,2.74358,2.83219,1.96085,0.02333,0.875,0.27822,0.08936,2.68719,2.85523,2.09641,1.9868e-05,1.9868e-05,1.9868e-05
3,11.1883,2.81546,2.88585,2.01248,0.02333,0.875,0.37336,0.14072,2.55095,2.81912,1.97295,3.9472e-05,3.9472e-05,3.9472e-05
4,14.2437,2.45663,2.70801,1.79625,0.02333,0.875,0.41889,0.1643,2.36516,2.713,1.73727,5.8812e-05,5.8812e-05,5.8812e-05
5,17.3934,2.21345,2.79494,1.63712,0.02667,1,0.53369,0.20848,2.11472,2.67656,1.58282,7.7888e-05,7.7888e-05,7.7888e-05
6,20.5016,2.05076,2.63039,1.47128,0.02667,1,0.69696,0.36809,1.77541,2.59929,1.40353,9.67e-05,9.67e-05,9.67e-05
7,23.4446,1.6496,2.44443,1.36439,0.02667,1,0.75784,0.4963,1.50463,2.53818,1.24801,0.000115248,0.000115248,0.000115248
8,26.2642,1.24401,2.02455,1.19946,0.02667,1,0.86947,0.56817,1.34851,2.54406,1.17424,0.000133532,0.000133532,0.000133532
9,29.1903,1.28866,2.50931,1.1626,0.02667,1,0.93147,0.54669,1.15107,2.63015,1.14297,0.000151552,0.000151552,0.000151552
10,32.1074,1.2445,2.34162,1.17745,0.02667,1,0.939,0.5589,1.0762,2.62414,1.09342,0.000169308,0.000169308,0.000169308
11,35.1776,1.09951,1.93128,1.10906,0.02667,1,0.971,0.60552,0.96599,2.58757,1.04957,0.0001868,0.0001868,0.0001868
12,38.0783,1.35421,2.19512,1.13737,0.02667,1,0.98167,0.67364,0.94504,2.51891,1.02724,0.000204028,0.000204028,0.000204028
13,41.0051,1.07577,1.84355,1.04595,0.02667,1,0.90597,0.66742,0.90314,2.52932,1.04184,0.000220992,0.000220992,0.000220992
14,43.8624,1.00946,1.1282,0.99788,0.0859,1,0.8293,0.60481,0.91283,2.52002,1.01697,0.000237692,0.000237692,0.000237692
15,46.759,0.95999,1.46613,0.99374,1,0.25118,0.76302,0.60016,0.83776,2.49993,0.99193,0.000254128,0.000254128,0.000254128
16,49.587,1.0615,1.15046,1.13313,1,0.15811,0.79371,0.63527,0.76049,2.43436,0.95029,0.0002703,0.0002703,0.0002703
17,52.5192,0.91112,1.0563,0.99914,1,0.16361,0.80376,0.68585,0.72938,2.36909,0.9212,0.000286208,0.000286208,0.000286208
18,55.3056,0.9641,0.97104,0.99359,1,0.16361,0.80376,0.68585,0.72938,2.36909,0.9212,0.000301852,0.000301852,0.000301852
19,58.2592,0.83106,0.91643,0.96951,1,0.16567,0.82314,0.64937,0.79387,2.31358,0.9198,0.000317232,0.000317232,0.000317232
20,61.2779,0.65697,0.74845,0.87989,1,0.16567,0.82314,0.64937,0.79387,2.31358,0.9198,0.000332348,0.000332348,0.000332348
