epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,64.315,0.69192,0.7893,0.88442,1,0.26977,0.83907,0.63541,0.84153,2.25642,0.95204,0.0003472,0.0003472,0.0003472
22,67.0547,0.8041,0.89382,0.93984,1,0.26977,0.83907,0.63541,0.84153,2.25642,0.95204,0.000361788,0.000361788,0.000361788
23,70.2616,0.74237,0.8835,0.95497,1,0.27906,0.85818,0.67026,0.86999,2.1361,0.95051,0.000376112,0.000376112,0.000376112
24,73.292,0.89777,0.78395,0.96926,1,0.27906,0.85818,0.67026,0.86999,2.1361,0.95051,0.000390172,0.000390172,0.000390172
25,76.1296,0.76871,0.76418,0.92662,1,0.27428,0.88167,0.71099,0.87162,2.09893,0.92898,0.000403968,0.000403968,0.000403968
26,78.911,0.68038,0.83668,0.91131,1,0.27428,0.88167,0.71099,0.87162,2.09893,0.92898,0.0004175,0.0004175,0.0004175
27,82.1082,0.80508,0.7533,0.99459,1,0.27376,0.90672,0.71978,0.85323,2.05834,0.92658,0.000430768,0.000430768,0.000430768
28,85.0952,0.73539,1.098,1.02026,1,0.27376,0.90672,0.71978,0.85323,2.05834,0.92658,0.000443772,0.000443772,0.000443772
29,87.9742,0.61635,0.69198,0.90176,1,0.2845,0.98167,0.78434,0.82342,1.96399,0.90389,0.000456512,0.000456512,0.000456512
30,90.7767,0.685,0.68124,0.94957,1,0.2845,0.98167,0.78434,0.82342,1.96399,0.90389,0.000468988,0.000468988,0.000468988
31,93.7483,0.7429,0.76288,0.8806,1,0.28895,0.87413,0.66737,0.92019,1.92694,0.96511,0.0004812,0.0004812,0.0004812
32,96.5058,0.6476,0.70928,0.96474,1,0.28895,0.87413,0.66737,0.92019,1.92694,0.96511,0.000493148,0.000493148,0.000493148
33,99.3302,0.65264,0.71477,0.92881,1,0.28976,0.81807,0.61279,1.0202,1.9415,1.01179,0.000504832,0.000504832,0.000504832
34,102.137,0.62257,0.69089,0.93535,1,0.28976,0.81807,0.61279,1.0202,1.9415,1.01179,0.000516252,0.000516252,0.000516252
35,105.05,0.62648,0.6855,0.92775,1,0.29027,0.85425,0.66438,0.97584,1.89768,1.00459,0.000527408,0.000527408,0.000527408
36,107.907,0.71074,0.77456,0.92036,1,0.29027,0.85425,0.66438,0.97584,1.89768,1.00459,0.0005383,0.0005383,0.0005383
37,110.726,0.64055,0.71531,0.91929,1,0.29056,0.90775,0.74036,0.85487,1.86747,0.94194,0.000548928,0.000548928,0.000548928
38,113.554,0.68661,0.80673,0.97085,1,0.29056,0.90775,0.74036,0.85487,1.86747,0.94194,0.000559292,0.000559292,0.000559292
39,116.396,0.65042,0.78675,0.91246,1,0.29103,0.90258,0.71039,0.82711,1.8405,0.9236,0.000569392,0.000569392,0.000569392
40,119.194,0.68255,0.67943,0.95949,1,0.29103,0.90258,0.71039,0.82711,1.8405,0.9236,0.000579228,0.000579228,0.000579228
41,122.171,0.69249,0.65914,0.89585,1,0.29154,0.90611,0.62068,1.0184,1.85788,0.99035,0.0005888,0.0005888,0.0005888
42,124.927,0.60195,0.60608,0.83159,1,0.29154,0.90611,0.62068,1.0184,1.85788,0.99035,0.000598108,0.000598108,0.000598108
43,127.771,0.6018,0.61927,0.87716,1,0.41317,0.93875,0.68502,0.96685,1.77923,0.96103,0.000607152,0.000607152,0.000607152
44,130.715,0.57511,0.60291,0.86924,1,0.41317,0.93875,0.68502,0.96685,1.77923,0.96103,0.000615932,0.000615932,0.000615932
45,133.62,0.61868,0.70198,0.91815,1,0.38913,0.9326,0.78394,0.72526,1.83887,0.8803,0.000624448,0.000624448,0.000624448
46,136.391,0.62338,0.78701,0.95138,1,0.38913,0.9326,0.78394,0.72526,1.83887,0.8803,0.0006327,0.0006327,0.0006327
47,139.211,0.62148,0.60933,0.88878,1,0.29087,0.9,0.7316,0.79743,1.90747,0.93055,0.000640688,0.000640688,0.000640688
48,142.032,0.75219,0.79736,0.87892,1,0.29087,0.9,0.7316,0.79743,1.90747,0.93055,0.000648412,0.000648412,0.000648412
49,145.051,0.67226,0.76325,0.94012,0.86233,0.25,0.729,0.55846,1.02241,2.06252,1.06832,0.000655872,0.000655872,0.000655872
50,147.794,0.76621,0.89702,1.03841,0.86233,0.25,0.729,0.55846,1.02241,2.06252,1.06832,0.000663068,0.000663068,0.000663068
51,150.633,0.63474,0.62872,0.87573,0.86338,0.25,0.79,0.59754,0.95537,2.0591,1.01864,0.00067,0.00067,0.00067
52,153.436,0.54817,0.63618,0.89386,0.86338,0.25,0.79,0.59754,0.95537,2.0591,1.01864,0.000676668,0.000676668,0.000676668
53,156.194,0.67462,0.66318,0.91814,0.86338,0.25,0.79,0.59754,0.95537,2.0591,1.01864,0.000683072,0.000683072,0.000683072
54,159.085,0.52394,0.58827,0.87917,1,0.89372,0.995,0.87626,0.7019,1.42765,0.88066,0.000689212,0.000689212,0.000689212
55,161.929,0.65025,0.64381,0.90627,1,0.89372,0.995,0.87626,0.7019,1.42765,0.88066,0.000695088,0.000695088,0.000695088
56,164.756,0.68411,0.64487,0.87235,1,0.89372,0.995,0.87626,0.7019,1.42765,0.88066,0.0007007,0.0007007,0.0007007
57,167.726,0.88829,0.76601,0.92602,1,0.90467,0.995,0.85379,0.76622,1.23043,0.89856,0.000706048,0.000706048,0.000706048
58,170.731,0.78864,0.66632,0.91651,1,0.90467,0.995,0.85379,0.76622,1.23043,0.89856,0.000711132,0.000711132,0.000711132
59,173.555,0.65041,0.61905,0.91254,1,0.90467,0.995,0.85379,0.76622,1.23043,0.89856,0.000715952,0.000715952,0.000715952
60,176.387,0.68708,0.66595,0.92384,1,0.88843,0.995,0.71625,1.10509,1.36086,1.05337,0.000720508,0.000720508,0.000720508
61,179.196,0.65296,0.62951,0.86891,1,0.88843,0.995,0.71625,1.10509,1.36086,1.05337,0.0007248,0.0007248,0.0007248
62,182.084,0.65828,0.60556,0.85521,1,0.88843,0.995,0.71625,1.10509,1.36086,1.05337,0.000728828,0.000728828,0.000728828
63,184.921,0.76895,0.66362,0.90044,0.99938,1,0.995,0.76872,0.96789,1.07479,0.9754,0.000732592,0.000732592,0.000732592
64,187.715,0.77403,0.65536,0.91748,0.99938,1,0.995,0.76872,0.96789,1.07479,0.9754,0.000736092,0.000736092,0.000736092
65,190.722,0.85055,0.81743,1.11584,0.99938,1,0.995,0.76872,0.96789,1.07479,0.9754,0.000739328,0.000739328,0.000739328
66,193.663,0.73809,0.67552,0.93956,0.98711,1,0.995,0.88365,0.62189,0.81934,0.84521,0.0007423,0.0007423,0.0007423
67,196.481,0.90745,0.85898,1.10901,0.98711,1,0.995,0.88365,0.62189,0.81934,0.84521,0.000745008,0.000745008,0.000745008
68,199.328,0.63759,0.60402,0.87661,0.98711,1,0.995,0.88365,0.62189,0.81934,0.84521,0.000747452,0.000747452,0.000747452
69,202.307,0.7868,0.60896,0.89419,0.98976,1,0.995,0.86547,0.6112,0.88537,0.84409,0.000749632,0.000749632,0.000749632
70,205.172,0.5301,0.57724,0.88583,0.98976,1,0.995,0.86547,0.6112,0.88537,0.84409,0.000751548,0.000751548,0.000751548
71,208.219,0.68345,0.62241,0.92351,0.98976,1,0.995,0.86547,0.6112,0.88537,0.84409,0.0007532,0.0007532,0.0007532
72,211.05,0.68253,0.57992,0.93683,0.9888,1,0.995,0.79502,0.88336,1.02416,0.93652,0.000754588,0.000754588,0.000754588
73,214.079,0.70789,0.59928,0.92015,0.9888,1,0.995,0.79502,0.88336,1.02416,0.93652,0.000755712,0.000755712,0.000755712
74,216.95,0.73531,0.72775,0.98989,0.9888,1,0.995,0.79502,0.88336,1.02416,0.93652,0.000756572,0.000756572,0.000756572
75,219.787,0.69093,0.62634,0.94328,0.98618,1,0.995,0.83364,0.76093,0.98191,0.90668,0.000757168,0.000757168,0.000757168
76,222.634,0.57714,0.58082,0.93706,0.98618,1,0.995,0.83364,0.76093,0.98191,0.90668,0.0007575,0.0007575,0.0007575
77,225.507,0.62714,0.68597,0.99023,0.98618,1,0.995,0.83364,0.76093,0.98191,0.90668,0.000757568,0.000757568,0.000757568
78,228.327,0.68864,0.64832,0.96564,0.98203,1,0.995,0.92519,0.50196,0.8412,0.81024,0.000757372,0.000757372,0.000757372
79,231.285,0.82722,0.78671,0.86748,0.98203,1,0.995,0.92519,0.50196,0.8412,0.81024,0.000756912,0.000756912,0.000756912
80,234.21,0.71048,0.70136,0.87057,0.98203,1,0.995,0.92519,0.50196,0.8412,0.81024,0.000756188,0.000756188,0.000756188
81,237.051,0.57727,0.70955,0.91884,0.98566,1,0.995,0.90215,0.54651,0.69755,0.81854,0.0007552,0.0007552,0.0007552
82,240.01,0.85498,0.67467,0.96111,0.98566,1,0.995,0.90215,0.54651,0.69755,0.81854,0.000753948,0.000753948,0.000753948
83,242.902,0.71535,0.56137,0.87815,0.98566,1,0.995,0.90215,0.54651,0.69755,0.81854,0.000752432,0.000752432,0.000752432
84,245.857,0.86676,0.61668,0.95845,0.98527,1,0.995,0.87544,0.57215,0.71927,0.82564,0.000750652,0.000750652,0.000750652
85,248.696,0.66518,0.57827,0.91409,0.98527,1,0.995,0.87544,0.57215,0.71927,0.82564,0.000748608,0.000748608,0.000748608
86,251.577,0.74549,0.61343,0.96726,0.98527,1,0.995,0.87544,0.57215,0.71927,0.82564,0.0007463,0.0007463,0.0007463
87,254.714,0.60591,0.53736,0.86168,0.98527,1,0.995,0.87544,0.57215,0.71927,0.82564,0.000743728,0.000743728,0.000743728
88,257.986,0.71755,0.67674,0.98159,0.99036,1,0.995,0.87001,0.58665,0.63606,0.83242,0.000740892,0.000740892,0.000740892
89,261.301,0.849,0.62219,0.99069,0.99036,1,0.995,0.87001,0.58665,0.63606,0.83242,0.000737792,0.000737792,0.000737792
90,264.287,0.76299,0.6144,0.92941,0.99036,1,0.995,0.87001,0.58665,0.63606,0.83242,0.000734428,0.000734428,0.000734428
91,267.123,0.74283,0.60856,0.92463,0.99036,1,0.995,0.87001,0.58665,0.63606,0.83242,0.0007308,0.0007308,0.0007308
92,270.013,0.65043,0.5805,0.94805,0.99479,1,0.995,0.8789,0.59571,0.64621,0.82084,0.000726908,0.000726908,0.000726908
93,272.908,0.71764,0.55999,0.94569,0.99479,1,0.995,0.8789,0.59571,0.64621,0.82084,0.000722752,0.000722752,0.000722752
94,275.699,0.65158,0.56938,0.87721,0.99479,1,0.995,0.8789,0.59571,0.64621,0.82084,0.000718332,0.000718332,0.000718332
95,278.477,0.66278,0.62961,0.99496,0.99479,1,0.995,0.8789,0.59571,0.64621,0.82084,0.000713648,0.000713648,0.000713648
96,281.383,0.67466,0.57368,0.92001,0.9968,1,0.995,0.86893,0.57669,0.60441,0.82501,0.0007087,0.0007087,0.0007087
97,284.266,0.5904,0.51221,0.87647,0.9968,1,0.995,0.86893,0.57669,0.60441,0.82501,0.000703488,0.000703488,0.000703488
98,287.006,0.67025,0.58324,0.8968,0.9968,1,0.995,0.86893,0.57669,0.60441,0.82501,0.000698012,0.000698012,0.000698012
99,289.82,0.62452,0.5793,0.91819,0.9968,1,0.995,0.86893,0.57669,0.60441,0.82501,0.000692272,0.000692272,0.000692272
100,292.719,0.60057,0.51227,0.85954,0.9971,1,0.995,0.85756,0.5526,0.66731,0.80556,0.000686268,0.000686268,0.000686268
101,295.651,0.58984,0.55279,0.89012,0.9971,1,0.995,0.85756,0.5526,0.66731,0.80556,0.00068,0.00068,0.00068
102,298.573,0.52068,0.51234,0.83311,0.9971,1,0.995,0.85756,0.5526,0.66731,0.80556,0.0006668,0.0006668,0.0006668
103,301.453,0.6458,0.54732,0.93441,0.9971,1,0.995,0.85756,0.5526,0.66731,0.80556,0.0006536,0.0006536,0.0006536
104,304.319,0.60791,0.54061,0.92314,0.99706,1,0.995,0.92948,0.505,0.61884,0.79451,0.0006404,0.0006404,0.0006404
105,307.136,0.51346,0.52177,0.8666,0.99706,1,0.995,0.92948,0.505,0.61884,0.79451,0.0006272,0.0006272,0.0006272
106,310.119,0.61318,0.56973,0.91119,0.99706,1,0.995,0.92948,0.505,0.61884,0.79451,0.000614,0.000614,0.000614
107,313.064,0.58851,0.50751,0.88157,0.99706,1,0.995,0.92948,0.505,0.61884,0.79451,0.0006008,0.0006008,0.0006008
108,315.902,0.62137,0.68942,1.03559,0.99723,1,0.995,0.91425,0.55374,0.55063,0.8115,0.0005876,0.0005876,0.0005876
109,318.665,0.46593,0.52086,0.89683,0.99723,1,0.995,0.91425,0.55374,0.55063,0.8115,0.0005744,0.0005744,0.0005744
110,321.445,0.54974,0.56326,0.91116,0.99723,1,0.995,0.91425,0.55374,0.55063,0.8115,0.0005612,0.0005612,0.0005612
111,324.322,0.68733,0.57566,0.88739,0.99723,1,0.995,0.91425,0.55374,0.55063,0.8115,0.000548,0.000548,0.000548
112,327.275,0.63525,0.57075,0.87063,0.99731,1,0.995,0.93309,0.48964,0.5684,0.80116,0.0005348,0.0005348,0.0005348
113,330.129,0.62477,0.59641,0.89485,0.99731,1,0.995,0.93309,0.48964,0.5684,0.80116,0.0005216,0.0005216,0.0005216
114,333.105,0.51423,0.49093,0.86097,0.99731,1,0.995,0.93309,0.48964,0.5684,0.80116,0.0005084,0.0005084,0.0005084
115,335.953,0.53754,0.53138,0.87901,0.99731,1,0.995,0.93309,0.48964,0.5684,0.80116,0.0004952,0.0004952,0.0004952
116,338.858,0.58779,0.55931,0.90474,0.99734,1,0.995,0.93414,0.46719,0.55362,0.79354,0.000482,0.000482,0.000482
117,341.808,0.45652,0.48475,0.85547,0.99734,1,0.995,0.93414,0.46719,0.55362,0.79354,0.0004688,0.0004688,0.0004688
118,344.727,0.47314,0.50277,0.8288,0.99734,1,0.995,0.93414,0.46719,0.55362,0.79354,0.0004556,0.0004556,0.0004556
119,347.489,0.54348,0.50664,0.87477,0.99734,1,0.995,0.93414,0.46719,0.55362,0.79354,0.0004424,0.0004424,0.0004424
120,350.367,0.54169,0.48753,0.85699,0.99739,1,0.995,0.96726,0.43259,0.5574,0.78544,0.0004292,0.0004292,0.0004292
121,353.278,0.68336,0.54801,0.93342,0.99739,1,0.995,0.96726,0.43259,0.5574,0.78544,0.000416,0.000416,0.000416
122,356.203,0.50135,0.53145,0.85659,0.99739,1,0.995,0.96726,0.43259,0.5574,0.78544,0.0004028,0.0004028,0.0004028
123,359.034,0.57374,0.60089,0.92765,0.99739,1,0.995,0.96726,0.43259,0.5574,0.78544,0.0003896,0.0003896,0.0003896
124,361.959,0.40614,0.53245,0.89276,0.99739,1,0.995,0.9402,0.45889,0.54848,0.79696,0.0003764,0.0003764,0.0003764
125,364.72,0.47419,0.5783,0.91554,0.99739,1,0.995,0.9402,0.45889,0.54848,0.79696,0.0003632,0.0003632,0.0003632
126,367.595,0.47365,0.49971,0.87988,0.99739,1,0.995,0.9402,0.45889,0.54848,0.79696,0.00035,0.00035,0.00035
127,370.451,0.46671,0.44759,0.83836,0.99739,1,0.995,0.9402,0.45889,0.54848,0.79696,0.0003368,0.0003368,0.0003368
128,373.337,0.45829,0.54635,0.89491,0.99736,1,0.995,0.91903,0.46935,0.54428,0.79813,0.0003236,0.0003236,0.0003236
129,376.071,0.55337,0.59742,0.8672,0.99736,1,0.995,0.91903,0.46935,0.54428,0.79813,0.0003104,0.0003104,0.0003104
130,378.848,0.4457,0.47941,0.85173,0.99736,1,0.995,0.91903,0.46935,0.54428,0.79813,0.0002972,0.0002972,0.0002972
131,381.676,0.51401,0.50291,0.88933,0.99736,1,0.995,0.91903,0.46935,0.54428,0.79813,0.000284,0.000284,0.000284
132,384.587,0.51151,0.56024,0.82677,0.99742,1,0.995,0.91278,0.46119,0.54541,0.79234,0.0002708,0.0002708,0.0002708
133,387.455,0.50872,0.56014,0.95087,0.99742,1,0.995,0.91278,0.46119,0.54541,0.79234,0.0002576,0.0002576,0.0002576
134,390.359,0.55335,0.51345,0.88314,0.99742,1,0.995,0.91278,0.46119,0.54541,0.79234,0.0002444,0.0002444,0.0002444
135,393.207,0.50326,0.56418,0.9019,0.99742,1,0.995,0.91278,0.46119,0.54541,0.79234,0.0002312,0.0002312,0.0002312
136,396.11,0.43854,0.51565,0.87006,0.99748,1,0.995,0.95117,0.41589,0.52673,0.78203,0.000218,0.000218,0.000218
137,398.94,0.43699,0.52881,0.85309,0.99748,1,0.995,0.95117,0.41589,0.52673,0.78203,0.0002048,0.0002048,0.0002048
138,401.755,0.39067,0.43666,0.84729,0.99748,1,0.995,0.95117,0.41589,0.52673,0.78203,0.0001916,0.0001916,0.0001916
139,404.617,0.41104,0.44352,0.83043,0.99748,1,0.995,0.95117,0.41589,0.52673,0.78203,0.0001784,0.0001784,0.0001784
140,407.531,0.39068,0.41844,0.84686,0.9975,1,0.995,0.95117,0.38177,0.49703,0.77683,0.0001652,0.0001652,0.0001652
141,410.27,0.46641,0.52432,0.84566,0.9975,1,0.995,0.95117,0.38177,0.49703,0.77683,0.000152,0.000152,0.000152
142,413.119,0.4018,0.52013,0.77055,0.9975,1,0.995,0.95117,0.38177,0.49703,0.77683,0.0001388,0.0001388,0.0001388
143,415.898,0.43378,0.52712,0.79182,0.9975,1,0.995,0.95117,0.38177,0.49703,0.77683,0.0001256,0.0001256,0.0001256
144,418.764,0.48535,0.55428,0.85232,0.99759,1,0.995,0.98315,0.34044,0.47622,0.76766,0.0001124,0.0001124,0.0001124
145,421.607,0.47208,0.51222,0.87193,0.99759,1,0.995,0.98315,0.34044,0.47622,0.76766,9.92e-05,9.92e-05,9.92e-05
146,424.389,0.36398,0.45189,0.79382,0.99759,1,0.995,0.98315,0.34044,0.47622,0.76766,8.6e-05,8.6e-05,8.6e-05
147,427.165,0.37951,0.49261,0.83333,0.99759,1,0.995,0.98315,0.34044,0.47622,0.76766,7.28e-05,7.28e-05,7.28e-05
148,430.197,0.40992,0.49599,0.84767,0.99766,1,0.995,0.995,0.31615,0.4667,0.76357,5.96e-05,5.96e-05,5.96e-05
149,433.359,0.35021,0.49317,0.75294,0.99766,1,0.995,0.995,0.31615,0.4667,0.76357,4.64e-05,4.64e-05,4.64e-05
150,436.197,0.5234,0.59939,0.92903,0.99766,1,0.995,0.995,0.31615,0.4667,0.76357,3.32e-05,3.32e-05,3.32e-05
