epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,50.1025,0.83488,0.84454,0.9296,1,0.28654,0.96227,0.78899,0.7442,2.08963,0.81957,0.0002436,0.0002436,0.0002436
32,51.784,0.74937,0.74529,0.98758,1,0.28654,0.96227,0.78899,0.7442,2.08963,0.81957,0.000239444,0.000239444,0.000239444
33,53.4748,0.82845,0.77924,0.96461,1,0.3888,0.945,0.76591,0.74547,2.01705,0.81804,0.000234496,0.000234496,0.000234496
34,54.9912,0.65618,0.6936,0.87863,1,0.3888,0.945,0.76591,0.74547,2.01705,0.81804,0.000228756,0.000228756,0.000228756
35,56.5367,0.70996,0.72444,0.91834,1,0.50948,0.995,0.76985,0.78253,1.90825,0.82745,0.000222224,0.000222224,0.000222224
36,58.0558,0.77344,0.74555,0.89859,1,0.50948,0.995,0.76985,0.78253,1.90825,0.82745,0.0002149,0.0002149,0.0002149
37,59.6318,0.70348,0.78128,0.9187,1,0.53308,0.98167,0.7338,0.94414,1.79128,0.86564,0.000206784,0.000206784,0.000206784
38,61.1764,0.81347,0.82265,0.99563,1,0.53308,0.98167,0.7338,0.94414,1.79128,0.86564,0.000197876,0.000197876,0.000197876
39,62.7864,0.62949,0.77068,0.87445,1,0.7523,0.98167,0.71334,1.02251,1.6663,0.88625,0.000188176,0.000188176,0.000188176
40,64.3223,0.74587,0.67996,0.95147,1,0.7523,0.98167,0.71334,1.02251,1.6663,0.88625,0.000177684,0.000177684,0.000177684
41,65.887,0.81331,0.7881,0.91041,0.95764,0.875,0.98167,0.73582,0.95726,1.53977,0.86792,0.0001664,0.0001664,0.0001664
42,67.4162,0.6838,0.6928,0.90276,0.95764,0.875,0.98167,0.73582,0.95726,1.53977,0.86792,0.000154324,0.000154324,0.000154324
43,69.0633,0.63195,0.65853,0.85472,1,0.89989,0.995,0.81885,0.80383,1.4107,0.82448,0.000141456,0.000141456,0.000141456
44,70.6672,0.65233,0.69914,0.86008,1,0.89989,0.995,0.81885,0.80383,1.4107,0.82448,0.000127796,0.000127796,0.000127796
45,72.2643,0.82242,0.82941,0.89188,1,0.90825,0.995,0.83291,0.7205,1.31633,0.80619,0.000113344,0.000113344,0.000113344
46,73.8907,0.56999,0.61111,0.88054,1,0.90825,0.995,0.83291,0.7205,1.31633,0.80619,9.81e-05,9.81e-05,9.81e-05
47,75.4897,0.58758,0.64236,0.87114,1,0.9145,0.995,0.86902,0.64157,1.26313,0.78901,8.2064e-05,8.2064e-05,8.2064e-05
48,77.0453,0.49927,0.59967,0.82867,1,0.9145,0.995,0.86902,0.64157,1.26313,0.78901,6.5236e-05,6.5236e-05,6.5236e-05
49,78.6738,0.617,0.61243,0.87345,0.98699,1,0.995,0.86902,0.6084,1.21656,0.78247,4.7616e-05,4.7616e-05,4.7616e-05
50,80.2114,0.67577,0.70868,0.87854,0.98699,1,0.995,0.86902,0.6084,1.21656,0.78247,2.9204e-05,2.9204e-05,2.9204e-05
