@relation TWS-2D-v3.3.4-RGB

@attribute original numeric
@attribute Hue numeric
@attribute Saturation numeric
@attribute Brightness numeric
@attribute Sobel_filter_0.0 numeric
@attribute Hessian_0.0 numeric
@attribute Hessian_Trace_0.0 numeric
@attribute Hessian_Determinant_0.0 numeric
@attribute Hessian_Eigenvalue_1_0.0 numeric
@attribute Hessian_Eigenvalue_2_0.0 numeric
@attribute Hessian_Orientation_0.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_0.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Hessian_1.0 numeric
@attribute Hessian_Trace_1.0 numeric
@attribute Hessian_Determinant_1.0 numeric
@attribute Hessian_Eigenvalue_1_1.0 numeric
@attribute Hessian_Eigenvalue_2_1.0 numeric
@attribute Hessian_Orientation_1.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_1.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Hessian_2.0 numeric
@attribute Hessian_Trace_2.0 numeric
@attribute Hessian_Determinant_2.0 numeric
@attribute Hessian_Eigenvalue_1_2.0 numeric
@attribute Hessian_Eigenvalue_2_2.0 numeric
@attribute Hessian_Orientation_2.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_2.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_2.0 numeric
@attribute Difference_of_gaussians_2.0_1.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Hessian_4.0 numeric
@attribute Hessian_Trace_4.0 numeric
@attribute Hessian_Determinant_4.0 numeric
@attribute Hessian_Eigenvalue_1_4.0 numeric
@attribute Hessian_Eigenvalue_2_4.0 numeric
@attribute Hessian_Orientation_4.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_4.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_4.0 numeric
@attribute Difference_of_gaussians_4.0_1.0 numeric
@attribute Difference_of_gaussians_4.0_2.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Sobel_filter_8.0 numeric
@attribute Hessian_8.0 numeric
@attribute Hessian_Trace_8.0 numeric
@attribute Hessian_Determinant_8.0 numeric
@attribute Hessian_Eigenvalue_1_8.0 numeric
@attribute Hessian_Eigenvalue_2_8.0 numeric
@attribute Hessian_Orientation_8.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_8.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_8.0 numeric
@attribute Difference_of_gaussians_8.0_1.0 numeric
@attribute Difference_of_gaussians_8.0_2.0 numeric
@attribute Difference_of_gaussians_8.0_4.0 numeric
@attribute Gaussian_blur_16.0 numeric
@attribute Sobel_filter_16.0 numeric
@attribute Hessian_16.0 numeric
@attribute Hessian_Trace_16.0 numeric
@attribute Hessian_Determinant_16.0 numeric
@attribute Hessian_Eigenvalue_1_16.0 numeric
@attribute Hessian_Eigenvalue_2_16.0 numeric
@attribute Hessian_Orientation_16.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_16.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_16.0 numeric
@attribute Difference_of_gaussians_16.0_1.0 numeric
@attribute Difference_of_gaussians_16.0_2.0 numeric
@attribute Difference_of_gaussians_16.0_4.0 numeric
@attribute Difference_of_gaussians_16.0_8.0 numeric
@attribute Membrane_projections_0_19_1 numeric
@attribute Membrane_projections_1_19_1 numeric
@attribute Membrane_projections_2_19_1 numeric
@attribute Membrane_projections_3_19_1 numeric
@attribute Membrane_projections_4_19_1 numeric
@attribute Membrane_projections_5_19_1 numeric
@attribute class {'class 1','class 2'}

@data
195.333328,207,56,213,152,242.666672,255,255,236.666672,161,0.666667,255,255,197,149.333328,237.333328,255,255,231.666672,154.666672,0.666667,255,255,205,118.666664,172.666672,204.333328,255,166.333328,95,0.666667,255,255,0,210,75,73.666664,99.666664,255,65.666664,34.333332,1,255,190.666672,0,0,211,56,70.333336,0,0,24,0,0,255,255,0,0,0.333333,202.666672,40.333332,21,0,2.333333,7.666667,0,0,255,189,0,2.333333,7.333333,8.333333,204.666672,214,195,255,6.666667,206,'class 1'
195.333328,207,56,213,152,242.666672,255,255,236.666672,161,0.666667,255,255,197,149.333328,237.333328,255,255,231.666672,154.666672,0.666667,255,255,205,118.666664,172.666672,204.333328,255,166.333328,95,0.666667,255,255,0,210,75,73.666664,99.666664,255,65.666664,34.333332,1,255,190.666672,0,0,211,56,70.333336,0,0,24,0,0,255,255,0,0,0.333333,202.666672,40.333332,21,0,2.333333,7.666667,0,0,255,189,0,2.333333,7.333333,8.333333,204.666672,214,195,255,6.666667,206,'class 1'
209.333328,215,34,220,159.666672,212.333328,205,170,208.666672,31.666666,0,255,255,209.333328,156.333328,205.333328,197,170,201.666672,28,0,255,255,210.666672,128.333328,164.666672,151.666672,85,160,14.333333,0,255,255,0,213,77.666664,63.666668,49.333332,85,61.666668,4.333333,0,255,255,0,0,213,52.666668,67.333336,0,0,25,0,0,255,255,0,0.333333,0.333333,205,38.666668,23,0,0,8.666667,0,0,255,208,4.666667,6,8.333333,8,208,219,197.666672,255,7,208.666672,'class 1'
209.333328,215,34,220,159.666672,212.333328,205,170,208.666672,31.666666,0,255,255,209.333328,156.333328,205.333328,197,170,201.666672,28,0,255,255,210.666672,128.333328,164.666672,151.666672,85,160,14.333333,0,255,255,0,213,77.666664,63.666668,49.333332,85,61.666668,4.333333,0,255,255,0,0,213,52.666668,67.333336,0,0,25,0,0,255,255,0,0.333333,0.333333,205,38.666668,23,0,0,8.666667,0,0,255,208,4.666667,6,8.333333,8,208,219,197.666672,255,7,208.666672,'class 1'
209.333328,215,34,220,159.666672,212.333328,205,170,208.666672,31.666666,0,255,255,209.333328,156.333328,205.333328,197,170,201.666672,28,0,255,255,210.666672,128.333328,164.666672,151.666672,85,160,14.333333,0,255,255,0,213,77.666664,63.666668,49.333332,85,61.666668,4.333333,0,255,255,0,0,213,52.666668,67.333336,0,0,25,0,0,255,255,0,0.333333,0.333333,205,38.666668,23,0,0,8.666667,0,0,255,208,4.666667,6,8.333333,8,208,219,197.666672,255,7,208.666672,'class 1'
225.333328,235,16,233,146.666672,199.666672,0,0,52.666668,0,0,255,255,224.666672,144.333328,197,0,0,53.666668,0,0,255,255,220.666672,117.666664,176.333328,0,0,55,0,0,255,255,4,217.666672,75.666664,75.333336,2.333333,0,39.333332,0,0,255,255,6.333333,2.666667,215.666672,49.333332,65,0,0,23.666666,0,0,255,255,9,4.666667,2,207.333328,37,24.666666,0,0,10,0,0,255,230.666672,17,13.333333,10.333333,8,211.333328,223.666672,201,255,7,212,'class 1'
225.333328,235,16,233,146.666672,199.666672,0,0,52.666668,0,0,255,255,224.666672,144.333328,197,0,0,53.666668,0,0,255,255,220.666672,117.666664,176.333328,0,0,55,0,0,255,255,4,217.666672,75.666664,75.333336,2.333333,0,39.333332,0,0,255,255,6.333333,2.666667,215.666672,49.333332,65,0,0,23.666666,0,0,255,255,9,4.666667,2,207.333328,37,24.666666,0,0,10,0,0,255,230.666672,17,13.333333,10.333333,8,211.333328,223.666672,201,255,7,212,'class 1'
201.666672,209,43,215,152.666672,217.666672,220.333328,85,221.666672,4,0,255,255,202.666672,150,209,212.666672,85,213,3.666667,0,255,255,205.333328,121,165,174.333328,255,167,12,0,255,255,0,208.666672,76.333336,70,96.333336,255,61,35,0.333333,255,224.333328,0,0,209.666672,57.333332,64,0,0,29,0,0,255,255,0,0,0,203.666672,39.333332,21,0,0,13,0,0,255,224.666672,1,2,5,6.333333,204.666672,211,194.333328,255,6.333333,207.333328,'class 1'
218.333328,220,24,227,151.333328,219.666672,0,170,32.333332,0,0,255,255,218,148.666672,207.666672,0,170,29.666666,0,0,255,255,215.333328,119.666664,115.666664,0,85,26,0,0,255,255,2.333333,213.666672,77.333336,22.333334,7.333333,0,22.333334,0,0,255,206,3.666667,1.333333,213,53,61.666668,0,0,27.666666,0,0,255,255,5.333333,2.333333,1,206,38.333332,22.666666,0,0,13.333333,0,0,255,247.333328,11.666667,9,7.666667,7,208.666672,218,199,255,6,210.666672,'class 1'
218.333328,220,24,227,151.333328,219.666672,0,170,32.333332,0,0,255,255,218,148.666672,207.666672,0,170,29.666666,0,0,255,255,215.333328,119.666664,115.666664,0,85,26,0,0,255,255,2.333333,213.666672,77.333336,22.333334,7.333333,0,22.333334,0,0,255,206,3.666667,1.333333,213,53,61.666668,0,0,27.666666,0,0,255,255,5.333333,2.333333,1,206,38.333332,22.666666,0,0,13.333333,0,0,255,247.333328,11.666667,9,7.666667,7,208.666672,218,199,255,6,210.666672,'class 1'
